Field1;Field2;Field3;Field4;Text;Text1;Text2
UNIVERSITAS MULAWARMAN;"Jalan Kuaro Gunung Kelua
									Samarinda";70;1:33;A;"7.94 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";81 Jurusan
UNIVERSITAS ISLAM SULTAN AGUNG;"Jalan Raya Kaligawe Km 4 Semarang
									Semarang";70;1:35;B;;39 Jurusan
INSTITUT SENI INDONESIA YOGYAKARTA;"Jalan Parangtritis Km 6,5 Sewon, Bantul
									Yogyakarta";70;1:14;A;;28 Jurusan
UNIVERSITAS WIDYATAMA;"Jalan Cikutra No. 204-A Bandung
									Jawa Barat";70;1:31;B;;14 Jurusan
UNIVERSITAS TADULAKO;"Kampus Bumi Tadulako Tondo
									Palu";70;1:18;B;"7.45 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";73 Jurusan
UNIVERSITAS SULTAN AGENG TIRTAYASA;"Jl Raya Jakarta Km 4 Pakupatan
									Serang";70;1:27;B;"4.81 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";46 Jurusan
UNIVERSITAS NEGERI JAKARTA;"Jalan Rawamangun Muka
									D.K.I. Jakarta";69;1:44;A;"2.70 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";125 Jurusan
UNIVERSITAS JAMBI;"Jl. Raya Jambi Muara Bulian Km 15
									Muaro Jambi";69;1:21;B;"4.29 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";96 Jurusan
UNIVERSITAS TRUNOJOYO;"Jalan Raya Telang PO. Box 2 Kamal
									Bangkalan";68;1:33;B;"8.39 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";30 Jurusan
UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAWA TIMUR;"Jl Raya Rungkut Madya Gunung Anyar Surabaya
									Gununganyar";68;1:25;A;;22 Jurusan
UNIVERSITAS TANJUNGPURA;"Jalan Jenderal Ahmad Yani
									Pontianak";67;1:30;B;"4.01 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";103 Jurusan
INSTITUT SENI INDONESIA DENPASAR;"Jalan Nusa Indah
									Denpasar";67;1:5;A;;13 Jurusan
UNIVERSITAS MURIA KUDUS;"Gondangmanis Bae Po Box 53 Gebog Bae Kudus
									Kudus";67;1:39;B;;17 Jurusan
UNIVERSITAS LANCANG KUNING;"Jalan Yos Sudarso Km 8 Rumbai, Pekanbaru, Riau, Indonesia
									Pekanbaru";66;1:17;B;;22 Jurusan
UNIVERSITAS MATARAM;"Jalan Majapahit No 62
									Mataram";66;1:14;B;"3.13 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";57 Jurusan
UNIVERSITAS SURABAYA;"Jalan Ngagel Jaya Selatan 169 Surabaya
									Surabaya";66;1:29;A;;25 Jurusan
UNIVERSITAS PGRI PALEMBANG;"Jl Jenderal Ahmad Yani Lorong Gotong Royong 910
									Sumatera Selatan";64;1:18;B;;22 Jurusan
UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA;"Jl. SWK 104 (Lingkar Utara), Condongcatur, (Kampus Pusat) 
									Yogyakarta";63;1:60;B;;23 Jurusan
UNIVERSITAS MUHAMMADIYAH LUWUK BANGGAI;"Jalan KH Ahmad Dahlan No 79
									Banggai";62;1:25;C;;14 Jurusan
INSTITUT SAINS DAN TEKNOLOGI AKPRIND;"Jalan Kalisahak No 28 Komplek Balapan
									Yogyakarta";61;1:40;B;;13 Jurusan
UNIVERSITAS AMIKOM YOGYAKARTA;"Jalan Ring Road Utara Condong Catur Depok-Sleman
									Sleman";61;1:3;B;;16 Jurusan
INSTITUT SENI INDONESIA SURAKARTA;"Jl Ki Hajar Dewantara No 19 Kentingan, Jebres
									Surakarta";61;1:8;B;;16 Jurusan
UNIVERSITAS KATOLIK SOEGIJAPRANATA;"Jalan Pawiyatan Luhur IV/1
									Semarang";61;1:41;A;;23 Jurusan
UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM;"Jalan Gajayana No 50
									Malang";61;1:30;A;;59 Jurusan
UNIVERSITAS MUHAMMADIYAH PALEMBANG;"Jalan Jenderal Ahmad Yani 13 ULU PLAJU 
									Palembang";60;1:31;B;;31 Jurusan
UNIVERSITAS LAMBUNG MANGKURAT;"Jalan Brigjen H Hasan Basri
									Banjarmasin";59;1:14;B;"7.84 % 

Data Pendaftar ini hanya khusus untuk Universitas Negeri. Prosentase kemungkinan adalah Rasio Jumlah Pendaftar vs Quota Penerimaan Mahasiswa pada Tahun sebelumnya.";102 Jurusan
UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAKARTA;Jakarta Selatan;59;1:36;B;;
